# Wavelength [micron]	Flux [W/cm2/micron]
0.00200	4.227000000e-07
0.00400	6.895000000e-07
0.00600	2.165000000e-06
0.00800	1.684000000e-06
0.01000	9.366000000e-07
0.01200	4.100000000e-07
0.01400	3.553000000e-07
0.01600	4.295000000e-06
0.01800	3.842000000e-06
0.02000	2.609000000e-06
0.02200	1.589000000e-06
0.02400	1.462000000e-06
0.02600	2.231000000e-06
0.02800	1.489000000e-06
0.03000	1.090000000e-06
0.03038	4.063000000e-04
0.03200	1.039000000e-06
0.03400	9.793000000e-07
0.03600	2.270000000e-07
0.03681	3.972000000e-05
0.03800	2.154000000e-07
0.04000	2.923000000e-07
0.04200	3.617000000e-07
0.04400	3.456000000e-07
0.04600	6.386000000e-07
0.04800	2.487000000e-07
0.04993	3.231000000e-07
0.05000	3.011000000e-07
0.05200	3.794000000e-07
0.05400	3.656000000e-07
0.05545	2.852000000e-05
0.05600	3.372000000e-07
0.05800	3.257000000e-07
0.05847	5.349000000e-05
0.06000	2.144000000e-07
0.06094	1.462000000e-05
0.06200	1.043000000e-07
0.06253	1.105000000e-07
0.06297	4.716000000e-05
0.06400	1.064000000e-07
0.06600	1.314000000e-07
0.06800	1.276000000e-07
0.07000	6.544000000e-07
0.07200	9.051000000e-08
0.07400	8.810000000e-08
0.07600	4.490000000e-07
0.07646	5.179000000e-06
0.07704	6.245000000e-06
0.07800	4.376000000e-07
0.07902	1.987000000e-05
0.08000	6.861000000e-07
0.08200	9.214000000e-07
0.08342	9.162000000e-07
0.08400	8.554000000e-07
0.08600	2.015000000e-06
0.08800	1.970000000e-06
0.09000	1.883000000e-06
0.09200	1.704000000e-06
0.09231	1.808000000e-06
0.09334	1.788000000e-06
0.09378	1.780000000e-06
0.09400	1.491000000e-06
0.09497	1.758000000e-06
0.09600	7.292000000e-07
0.09725	7.269000000e-07
0.09770	1.208000000e-04
0.09800	6.784000000e-07
0.09910	1.085000000e-06
0.10000	1.010000000e-06
0.10200	1.404000000e-06
0.10260	8.456000000e-05
0.10350	4.838000000e-06
0.10600	3.703000000e-06
0.11100	4.966000000e-06
0.11550	4.553000000e-06
0.11900	4.704000000e-06
0.12100	1.011000000e-05
0.12160	5.408000000e-03
0.12500	2.511000000e-06
0.13000	3.559000000e-06
0.13500	5.158000000e-06
0.14000	4.755000000e-06
0.14500	5.373000000e-06
0.15000	8.081000000e-06
0.15500	1.660000000e-05
0.16000	1.787000000e-05
0.16500	3.241000000e-05
0.17000	5.559000000e-05
0.17500	1.040000000e-04
0.18000	1.770000000e-04
0.18500	2.113000000e-04
0.19000	3.314000000e-04
0.19500	4.855000000e-04
0.20000	6.868000000e-04
0.20500	9.949000000e-04
0.21000	2.219000000e-03
0.21500	3.297000000e-03
0.22000	4.256000000e-03
0.22500	5.016000000e-03
0.23000	4.806000000e-03
0.23500	4.455000000e-03
0.24000	4.804000000e-03
0.24500	5.459000000e-03
0.25000	4.912000000e-03
0.25500	6.520000000e-03
0.25750	1.108000000e-02
0.26250	1.465000000e-02
0.26750	2.377000000e-02
0.27250	2.118000000e-02
0.27750	1.741000000e-02
0.28250	2.238000000e-02
0.28750	3.471000000e-02
0.29250	5.426000000e-02
0.29750	4.993000000e-02
0.30250	5.119000000e-02
0.30750	6.161000000e-02
0.31250	6.654000000e-02
0.31750	7.046000000e-02
0.32250	7.852000000e-02
0.32750	9.065000000e-02
0.33250	9.439000000e-02
0.33750	9.416000000e-02
0.34250	9.475000000e-02
0.34750	9.442000000e-02
0.35250	9.878000000e-02
0.35750	9.664000000e-02
0.36250	1.019000000e-01
0.36750	1.146000000e-01
0.37250	1.099000000e-01
0.37750	1.094900000e-01
0.38250	1.039500000e-01
0.38750	1.026100000e-01
0.39250	1.033200000e-01
0.39750	1.287800000e-01
0.40250	1.663200000e-01
0.41000	1.732900000e-01
0.42000	1.766700000e-01
0.43000	1.625900000e-01
0.44000	1.825400000e-01
0.45000	2.007300000e-01
0.46000	2.019500000e-01
0.47000	2.002000000e-01
0.48000	1.993400000e-01
0.49000	1.913100000e-01
0.50000	1.910600000e-01
0.51000	1.877300000e-01
0.52000	1.796300000e-01
0.53000	1.859000000e-01
0.54000	1.824900000e-01
0.55000	1.813400000e-01
0.56000	1.774300000e-01
0.57000	1.791700000e-01
0.58000	1.815200000e-01
0.59000	1.771400000e-01
0.60000	1.742100000e-01
0.61000	1.707400000e-01
0.62000	1.676900000e-01
0.63000	1.634900000e-01
0.64000	1.609500000e-01
0.65000	1.539600000e-01
0.66000	1.525400000e-01
0.67000	1.535000000e-01
0.68000	1.509700000e-01
0.69000	1.456700000e-01
0.70000	1.520300000e-01
0.71000	1.388200000e-01
0.72000	1.347200000e-01
0.73000	1.323500000e-01
0.74000	1.279100000e-01
0.75000	1.262200000e-01
0.76000	1.230100000e-01
0.77000	1.186100000e-01
0.78000	1.173600000e-01
0.79000	1.148800000e-01
0.80000	1.119800000e-01
0.81000	1.090300000e-01
0.82000	1.064800000e-01
0.83000	1.032800000e-01
0.84000	1.004000000e-01
0.85000	9.594000000e-02
0.86650	9.693900000e-02
0.92650	8.718300000e-02
0.99900	7.621600000e-02
1.05300	6.735300000e-02
1.10000	6.066700000e-02
1.16650	5.274000000e-02
1.25500	4.423100000e-02
1.36900	3.612900000e-02
1.49800	2.940300000e-02
1.62650	2.365900000e-02
1.77500	1.752900000e-02
1.94100	1.208900000e-02
2.11150	9.071000000e-03
2.34200	6.834500000e-03
2.57050	5.111700000e-03
2.79000	4.000000000e-03
3.07950	2.811900000e-03
3.40800	1.775100000e-03
3.79350	1.175500000e-03
4.09100	8.827200000e-04
4.29100	7.293010293e-04
4.49100	6.078111523e-04
4.69100	5.105980511e-04
4.89100	4.320661403e-04
5.09100	3.680683688e-04
5.29100	3.154930804e-04
5.49100	2.719788354e-04
5.69100	2.357146320e-04
5.89100	2.052980355e-04
6.09100	1.796331504e-04
6.29100	1.578563817e-04
6.49100	1.392818248e-04
6.69100	1.233606830e-04
6.89100	1.096508203e-04
7.09100	9.779371469e-05
7.29100	8.749686481e-05
7.49100	7.852025409e-05
7.69100	7.066585846e-05
7.89100	6.376945584e-05
8.09100	5.769418993e-05
8.29100	5.232548037e-05
8.49100	4.756697364e-05
8.69100	4.333730344e-05
8.89100	3.956748475e-05
9.09100	3.619880665e-05
9.29100	3.318112024e-05
9.49100	3.047144089e-05
9.69100	2.803280205e-05
9.89100	2.583331129e-05
